citing,cited
366225,8462014
366225,8462032
366225,8462238
366225,3781806
366225,7640818
366225,8462034
366225,8462161
366225,8461913
366225,8461978
366225,8462346
366225,8462158
366225,3781881
366225,3781496
366225,3781559
366225,8462339
366225,8462017
366225,8462143
366225,8462200
366225,3781344
366225,3781488
366225,8461921
366225,8461871
366225,8462022
366225,8462309
366225,8461857
366225,8462157
366225,8462054
366225,10215369
366225,3781510
366225,3782127
366225,8461868
366225,8461982
366225,8947625
366388,3781512
366388,8462138
366388,8462014
366388,8462032
366388,8462238
366388,3781806
366388,7640818
366388,8462034
366388,8462161
366388,8461913
366388,8461978
366388,8462346
366388,8462158
366388,3781881
366388,3781496
366388,3781559
366388,8462339
366388,8462017
366388,8462143
366388,8462200
366388,3781344
366388,3781488
366388,8461921
366388,8461871
366388,8462022
366388,8462309
366388,8461857
366388,8462157
366388,8462054
366388,10215369
366388,3781510
366388,3782127
366388,8461868
366388,8461982
366282,3781512
366282,8462138
366282,8462014
366282,8462032
366282,8462238
366282,3781806
366282,7640818
366282,8462034
366282,8462161
366282,8461913
366282,8461978
366282,8462346
366282,8462158
366282,3781881
366282,3781496
366282,3781559
366282,8462339
366282,8462017
366282,8462143
366282,8462200
366282,3781344
366282,3781488
366282,8461921
366282,8461871
366282,8462022
366282,8462309
366282,8461857
366282,8462157
366282,8462054
366282,10215369
366282,3781510
366282,3782127
366282,8461868
366282,8461982
366282,8947625
366354,3781512
366354,8462138
366354,8462014
366354,8462032
366354,8462238
366354,3781806
366354,7640818
366354,8462034
366354,8462161
366354,8461913
366354,8461978
366354,8462346
366354,8462158
366354,3781881
366354,3781496
366354,3781559
366354,8462339
366354,8462017
366354,8462143
366354,8462200
366354,3781344
366354,3781488
366354,8461921
366354,8461871
366354,8462022
366354,8462309
366354,8461857
366354,8462157
366354,8462054
366354,10215369
366354,3781510
366354,3782127
366354,8461868
366354,8461982
366244,3781512
366244,8462138
366244,8462014
366244,8462032
366244,8462238
366244,3781806
366244,7640818
366244,8462034
366244,8462161
366244,8461913
366244,8461978
366244,8462346
366244,8462158
366244,3781881
366244,3781496
366244,3781559
366244,8462339
366244,8462017
366244,8462143
366244,8462200
366244,3781344
366244,3781488
366244,8461921
366244,8461871
366244,8462022
366244,8462309
366244,8461857
366244,8462157
366244,8462054
366244,10215369
366244,3781510
366244,3782127
366244,8461868
366244,8461982
366269,3781512
366269,8462138
366269,8462014
366269,8462032
366269,8462238
366269,3781806
366269,7640818
366269,8462034
366269,8462161
366269,8461913
366269,8461978
366269,8462346
366269,8462158
366269,3781881
366269,3781496
366269,3781559
366269,8462339
366269,8462017
366269,8462143
366269,8462200
366269,3781344
366269,3781488
366269,8461921
366269,8461871
366269,8462022
366269,8462309
366269,8461857
366269,8462157
366269,8462054
366269,10215369
366269,3781510
366269,3782127
366269,8461868
366269,8461982
11181047,3781512
11181047,8462138
11181047,8462014
11181047,8462032
11181047,8462238
11181047,3781806
11181047,7640818
11181047,8462034
11181047,8462161
11181047,8461913
11181047,8461978
11181047,8462346
11181047,8462158
11181047,3781881
11181047,3781496
11181047,3781559
11181047,8462339
11181047,8462017
11181047,8462143
11181047,8462200
11181047,3781344
11181047,3781488
11181047,8461921
11181047,8461871
11181047,8462022
11181047,8462309
11181047,8461857
11181047,8462157
11181047,8462054
11181047,10215369
11181047,3781510
11181047,3782127
11181047,8461868
11181047,8461982
366383,3781512
366383,8462138
366383,8462014
366383,8462032
366383,8462238
366383,3781806
366383,7640818
366383,8462034
366383,8462161
366383,8461913
366383,8461978
366383,8462346
366383,8462158
366383,3781881
366383,3781496
366383,3781559
366383,8462339
366383,8462017
366383,8462143
366383,8462200
366383,3781344
366383,3781488
366383,8461921
366383,8461871
366383,8462022
366383,8462309
366383,8461857
366383,8462157
366383,8462054
366383,10215369
366383,3781510
366383,3782127
366383,8461868
366383,8461982
366256,3781512
366256,8462138
366256,8462014
366256,8462032
366256,8462238
366256,3781806
366256,7640818
366256,8462034
366256,8462161
366256,8461913
366256,8461978
366256,8462346
366256,8462158
366256,3781881
366256,3781496
366256,3781559
366256,8462339
366256,8462017
366256,8462143
366256,8462200
366256,3781344
366256,3781488
366256,8461921
366256,8461871
366256,8462022
366256,8462309
366256,8461857
366256,8462157
